text	label	clean_text
"Road trip did not happen.

 Disappointed. 

Oh fucken well.

Just jusjointed with the world today. Not having a great time.

#bipolar #depression #loneliness 

So guess coffee and cake. Anything to fill the void where the soul's supposed to be."	1	road trip happen disappointed oh fucken well jusjointed world today great time guess coffee cake anything fill void soul supposed
"“And when nobody wakes you up in the morning, and when nobody waits for you at night, and when you can do whatever you want. What do you call it, freedom or loneliness?”
― Charles Bukowski #books #life #freedom #loneliness"	1	nobody wake morning nobody wait night whatever want call freedom loneliness charles bukowski
"#Mothers #working from home during the #pandemic have reported higher rates of #anxiety, #depression, &amp; #loneliness than #fathers. 

#colettelouisetisdahl #cltfoundation #workfromhome #workingmom #momlife #motherhood #covid19 #coronavirus #wfh #wfhlife #mentalhealth"	1	home reported higher rate
"The mind and heart 
always wandering 
where I cannot go

#bipolar #depression #loneliness"	1	mind heart always wandering go
I fucking hate #stress, #anxiety and #depression. Been battling panic attacks since I was 8. I always knew I was different. An extroverted introvert. Or vice versa. Wish I knew someone like me. We could battle it together. #loneliness #anxiety #imbroken	1	fucking hate battling panic attack since 8 always knew different extroverted introvert vice versa wish knew someone like could battle together
"What does it mean to ""know?""
What is knowledge? What is information? Doesn't it require time to acquire and accumulate?
So knowledge and knowing is based in time?#life #mentalhealth #fear #anxiety #depression #loneliness #pain #suffering #Security #insecurity #MentalHealthMatters"	1	mean know knowledge information require time acquire accumulate knowledge knowing based time
"The only messages I get saying I miss you and want you back are from Netflix wanting me to renew my membership. 

#Netflix #loneliness #relationships #men #women"	1	message get saying miss want back netflix wanting renew membership
Listening to #EleanorRigby this morning and discovered it was released in the year of my birth... And I'm pretty sure that the proportion of 'All the lonely people' has multiplied in my lifetime... #Beatles #loneliness	1	listening morning discovered released year birth pretty sure proportion lonely people multiplied lifetime
"Don't think house work and general  chores are the problem. Think it's the absolute fucken horrendous futility behind it.

That's why environmental change is such so slow, general failure.

Maybe life was never meant to be sustainable 

#bipolar #loneliness"	1	think house work general chore problem think absolute fucken horrendous futility behind environmental change slow general failure maybe life never meant sustainable
Our helpline is open today from 4-6PM #lgbt #lgbtq #homeless #covid #Covid_19 #isolation #loneliness #mentalhealth	1	helpline open today 4 6pm 19
"Many reasons to avoid #SocialMedia :- 

#panic
#irritation
#stress.
#depression
#Guilt.
#Jealousy.
#loneliness.
#FlamingBehaviour.
#Anxiety.
#self_dissatisfaction.
#distraction_addition.
#deterioration_of_mood.
#Reduced_selfesteem_confidence.
#Addiction_to_socialmedia....1/4"	1	many reason avoid dissatisfaction addition mood selfesteem confidence socialmedia 1 4
Our helpline is open today from 4-6PM #lgbt #lgbtq #homeless #covid #Covid_19 #isolation #loneliness #mentalhealth	1	helpline open today 4 6pm 19
"Squid game-related discussions are dynamic but let’s shift our focus away from capitalism/rich vs poor narrative and toward the perpetuation of screen violence, its impact on #adolescents and social (dis)connection- mental #health. 
The effects of #loneliness can be lethal."	1	squid game related discussion dynamic let u shift focus away capitalism rich v poor narrative toward perpetuation screen violence impact social dis connection mental effect lethal
I prefer loneliness over fake company 🌻 #Fake #Loneliness	1	prefer loneliness fake company
"How to not get fat???? 

#Anxiety #CareerTension #Loneliness #Survival #SleepDisorder"	1	get fat
I’m so god damn lonely. But that’s the way it is #loneliness	1	god damn lonely way
"I'm grey!

#im #grey #loneliness"	1	grey
"Depression is the reward we get for being 'good'

#depression #life #quote #motivation #loneliness"	1	depression reward get good
"The worst part is I crave connection, companionship, sex, feeling desired, touch, and just someone to share my day with. 
It's been over two years since I had sex and it wasn't that good 
It's been too long too remember when I felt loved
Why am I so unlovable? 
#loneliness"	1	worst part crave connection companionship sex feeling desired touch someone share day two year since sex good long remember felt loved unlovable
"Feeling lonely 🥺 
#alone
#loneliness #nofriends
#pareshan"	1	feeling lonely
"I think about this quote often:

""When nobody wakes you up in the morning, and when nobody waits for you at night, and when you can do whatever you want. What do you call it, freedom or loneliness?"" - Charles Bukowski

#Freedom
#loneliness"	1	think quote often nobody wake morning nobody wait night whatever want call freedom loneliness charles bukowski
If you've never dealt with #depression, for me at least, it's like I have the flu without the cough, with the addition of fog brain, emotional waves, intolerability, lethargy, guilt, #loneliness, all bundled up into a ball of #fuck. It can come in waves, or last for months+	1	never dealt least like flu without cough addition fog brain emotional wave intolerability lethargy guilt bundled ball come wave last month
"Loneliness is not when you don't have loved ones in life,
it's not having someone in your life who truly gets you.

#Loneliness #writer #writerslift #WritingCommunity"	1	loneliness loved one life someone life truly get
I don’t want to be the center of the room but I’d at least like to be invited to the room… 😒🤷🏻‍♀️ #DepressionTalk #loneliness #aloneinaseaoffaces	1	want center room least like invited room
"Yes. Having an extremely difficult time coping with life at the moment.

Lol. It is so hilarious. 

#bipolar #depression #loneliness"	1	yes extremely difficult time coping life moment lol hilarious
Gr8 wealth, miracle works, peace, health, grace, wisdom, success &amp; prospering opportunities come 2 me n unprecedented &amp; unexpected ways! I’m a daily recipient of them all thru 202WON #Day290 #MyBirthday #OctoberOvertures #loneliness #humble #plenty #yearoffruition #unstoppable	1	gr8 wealth miracle work peace health grace wisdom success prospering opportunity come 2 n unprecedented unexpected way daily recipient thru 202won
"We always think of ""loneliness"" as a state of ""only oneself"", but in fact, even if there are people, they still feel this way when ""no one helps oneself"" or ""no one understands oneself"".#loneliness #Lonely"	1	always think loneliness state oneself fact even people still feel way one help oneself one understands oneself
"The sky is beautiful tonight. Clear. And bright.

The wind is downright cold.

It was a shyte day. And will be shyte for a bit longer.

Having people over for supper while having an episode is always a challenge. 

Oh well, fuck.

#bipolar #depression #loneliness"	1	sky beautiful tonight clear bright wind downright cold shyte day shyte bit longer people supper episode always challenge oh well fuck
We shouldn’t have to do it all. It's okay to need other people. It's what we are designed for. #neediness #pain #anxiety #depression #mentalhealth #fear #loneliness #grief #activist #MentalHealthMatters #MentalHealthAwareness #MentalHealthMonday #spirituality #spiritualawakening	1	okay need people designed
I'm fighting #loneliness at the highest level right now.	1	fighting highest level right
#Loneliness leads to supplemental and superficial #intimacy which inevitably supplants Yah's design for healthy #relationships.	1	lead supplemental superficial inevitably supplants yah design healthy
Loneliness is dangerous #loneliness	1	loneliness dangerous
"""Solitude is not measured by the miles of space that intervene between a man and his fellows.""

- Henry David Thoreau, Walden

#loneliness #soltitude"	1	solitude measured mile space intervene man fellow henry david thoreau walden
Excited to have my paper accepted by @journal_ad assessing #loneliness and #Dementia across two longitudinal population-based cohorts in #Rotterdam and #Sweden. Thank-you @RuiWangMD  @meikevernooijx @CDintica @rjfmelis @LFratiglioni @MonashUni @ErasmusMC @BND_team	1	excited paper accepted ad assessing across two longitudinal population based cohort thank team
"Excited to have my paper accepted by @BioMedCentral assessing #loneliness, social isolation and social support as predictors of #CVD in @aspree_org  
Thank-you @johannesneuman @profcmreid @JohnMcNeil6 @Jane_Fisher1 @StephanieAlis18 @DrJoRyan @heartfoundation @MonashUni"	1	excited paper accepted assessing social isolation social support predictor org thank fisher1
Congratulations @AungZawZaw_Phyo for your paper assessing #economic, #loneliness and life events on quality of life in @aspree_org being accepted. Thank-you  @JohnMcNeil6 @Jane_Fisher1 @StephanieAlis18 @DrJoRyan  @DanijelaGasevic	1	congratulation phyo paper assessing life event quality life org accepted thank fisher1
"""Barbaric is letting the woman suffer to be alone for the rest of her life.""

- Missy Lyons, Alien Promise

#alone #loneliness #love"	1	barbaric letting woman suffer alone rest life missy lyon alien promise
"Sometimes loneliness gives pain...but sometimes it heals pain.
😌🙂
#Alone #loneliness 
#monitweets #Master #Beast #TeamTDK"	1	sometimes loneliness give pain sometimes heals pain
"So how do you do this? Life? Live... how do you do it?

I've got no fucken idea and it's fucken torture.

Haha. Haha. Hah. Funny. So fucken hilarious.

#bipolar #depression #loneliness"	1	life live got fucken idea fucken torture haha haha hah funny fucken hilarious
The demons I fight inside me always seem to win. #OCD #mentalhealth #depression #Anxiety #mentalillness #loneliness #pain #abuse #trauma	1	demon fight inside always seem win
"Pitch black room, rain pouring heavily outside and a horror movie on.

The perfect evening tonight 🎃🍭

#Halloween #HorrorMovies #rain #LonelyNotAlone #loneliness"	1	pitch black room rain pouring heavily outside horror movie perfect evening tonight
"No job is worth your mental health.
Your mental wellbeing is key to to an enjoyable life. 
Having spent two years struggling myself, make sure you take the time to look after you! 
 #mentalhealth #wellbeing #itsokaynottobeokay #youarenotalone #youareworthit"	1	job worth mental health mental wellbeing key enjoyable life spent two year struggling make sure take time look
"I been struggling with my mental health. I'm trying my best to get back on track. Taking one day at a time😌
#healingjourney 
#MentalHealthMatters 
#itsokaynottobeokay"	1	struggling mental health trying best get back track taking one day time
"If you are reading this and are struggling with your mental health.

Please know that reaching out for help is often the first stage of recovery and the bravest thing you can do. 

Things will get better, we promise 💜

#itsokaynottobeokay #StrongerTogether"	1	reading struggling mental health please know reaching help often first stage recovery bravest thing thing get better promise
Just want to say if anyone is struggling out there! Keep moving and if you don’t know where to go probably a question you need to find out on the road to getting better #positivity #WorldMentalHealthDay #itsokaynottobeokay  #peaceandlove	1	want say anyone struggling keep moving know go probably question need find road getting better
Sometimes we cry to feel better 🙂 #ItsOkayNotToBeOkay	1	sometimes cry feel better
Feeling so heavy today, like I'm carrying around weights. It's been a stressful couple of days but I'm still here so that's a good thing 😌 #anxiety #anxietydisorder #stress #stresstostrength #beyourself #ItsOkNotToBeOk #itsokaynottobeokay #KeepGoing #youcandoit #youarestrong	1	feeling heavy today like carrying around weight stressful couple day still good thing
"#WorldMentalHealthDay 🧠 How do you take care of your mental health at work?

#mentalhealth #work #itsokaynottobeokay"	1	take care mental health work
I've got a Head cold no Energy and No Motivation to get up out off this warm bed got work at 130 til 9pm #MentalHealthMatters #itsokaynottobeokay What's Everyone upto today? If people see this Tweet ❤🤔🙁😢🎧📻🙏	1	got head cold energy motivation get warm bed got work 130 til 9pm everyone upto today people see tweet
"If you are reading this and are struggling with your mental health.

Please know that reaching out for help is often the first stage of recovery and the bravest thing you can do. 

Things will get better, we promise 💜

#itsokaynottobeokay #StrongerTogether"	1	reading struggling mental health please know reaching help often first stage recovery bravest thing thing get better promise
"#NowPlaying Breath - @LeegitItsSam #itsokaynottobeokay 
#AsianChannel @DMS_AMBON"	1	breath ambon
"Decisions have been made!!!! Going to start with ‘It’s okay to not be okay’ Bye long weekend 😁😁😁😁 #Kdrama 
#itsokaynottobeokay hello #SeoYeaJi and #KimSooHyun 🤩"	1	decision made going start okay okay bye long weekend hello
Idk who needed to know this but almond n hemp doctor bronners does not make ur balloon knot tingle like the mint one. Not at allllllughhhh #itsokaynottobeokay #anotherdayanotherdisappointment	1	idk needed know almond n hemp doctor bronners make ur balloon knot tingle like mint one allllllughhhh
"Today's positive thought:
""There is a crack in everything, that's how the light gets in."" Leonard Cohen #youareyouandthatisok #mentalhealthawareness #askforhelp #itsokaynottobeokay #bekindtoyourself #bekindtoothers #dontsufferinsilence"	1	today positive thought crack everything light get leonard cohen
"""Many of life's failures are people who did not realize how close they were to success when they gave up.""

- Thomas Edison

#nevergiveup #itsokaynottobeokay"	1	many life failure people realize close success gave thomas edison
Grief/Depression/Anxiety is very real. I'd like to see five of my friends retweet this message (Not share) to show you are always there if someone needs to talk. I think I know who will. #itsokaynottobeokay 💜	1	grief depression anxiety real like see five friend retweet message share show always someone need talk think know
"""Your present circumstances don't determine where you can go, they merely determine where you start."" Nido Qubein #youareyouandthatisok #mentalhealthawareness #askforhelp #itsokaynottobeokay #bekindtoyourself #bekindtoothers #dontsufferinsilence"	1	present circumstance determine go merely determine start nido qubein
Oh mate, what a bloody day already🤯 #MentalHealthMatters #struggling #BPD #whataday #itsokaynottobeokay	1	oh mate bloody day already
"I wish I had someone who's afraid to lose me 🙂❤️

#itsokaynottobeokay"	1	wish someone afraid lose
"SeoYeJi is not guilty of anything..don't you understand..??!!😡
 #SeoYeaJi #itsokaynottobeokay"	1	seoyeji guilty anything understand
"Massive thanks to the random @TfL tube driver who could see that I didn't get on due to overcrowding / lack of people wearing masks and offered to let me ride in the cab. 

It was a simple gesture, but very much appreciated. 

#itsokaynottobeokay"	1	massive thanks random tube driver could see get due overcrowding lack people wearing mask offered let ride cab simple gesture much appreciated
"To all my fellow students, I know its hard but TAKE A REST 

#itsokaynottobeokay #MentalHealthPH #UsapTayo #MentalHealthMatters"	1	fellow student know hard take rest
"Massive thanks to the random @TfL tube driver who saw that I didn't get on due to crowding/lack of people wearing masks last night and offered to let me ride in the cab instead. 

It was a simple gesture, but very much appreciated. 

@mrjamesob @MayorofLondon
#itsokaynottobeokay"	1	massive thanks random tube driver saw get due crowding lack people wearing mask last night offered let ride cab instead simple gesture much appreciated
"people leave when they don't need me anymore
#itsokaynottobeokay"	1	people leave need anymore
"If you are reading this and are struggling with your mental health.

Please know that reaching out for help is often the first stage of recovery and the bravest thing you can do. 

Things will get better, we promise 💜

#itsokaynottobeokay #StrongerTogether"	1	reading struggling mental health please know reaching help often first stage recovery bravest thing thing get better promise
"Don't talk, Do!
Don't worry, talk.
Don't stop, continue on.
Don't be alone, Don't isolate yourself, your story, your fears and worries can be defeated by your dreams, hopes and desires, there are people and groups who care.
#itsokaynottobeokay 
#Itsgoodtotalk"	1	talk worry talk stop continue alone isolate story fear worry defeated dream hope desire people group care
"Ep 10 was so heartbreaking😭

#itsokaynottobeokay"	1	ep 10 heartbreaking
Hey... how are you today? Just a reminder that I'm here for you. You matter! Reach out if you're not ok. It's ok to do so! No matter what others might say. I'm here. ok?! #mentalhealth #MentalHealthMatters #MentalHealthAwareness #burnout #depression #itsokaynottobeokay #YouMatter	1	hey today reminder matter reach ok ok matter others might say ok
Nw ep 4.👍 #itsokaynottobeokay #KimSooHyun	1	nw ep 4
"If you are reading this and are struggling with your mental health.

Please know that reaching out for help is often the first stage of recovery and the bravest thing you can do. 

Things will get better, we promise 💜

#itsokaynottobeokay #StrongerTogether"	1	reading struggling mental health please know reaching help often first stage recovery bravest thing thing get better promise
"If you are reading this and are struggling with your mental health.

Please know that reaching out for help is often the first stage of recovery and the bravest thing you can do. 

Things will get better, we promise 💜

#itsokaynottobeokay #StrongerTogether"	1	reading struggling mental health please know reaching help often first stage recovery bravest thing thing get better promise
"I've had it more than enough so take it.

""The burden is finally gone""

I've been tied up for way too long so i forgot how to cuy myself free.

 #itsokaynottobeokay"	1	enough take burden finally gone tied way long forgot cuy free
I hate how out of the blue, a wave of sadness and emptiness takes over me. The worst thing about it... there is LITERALLY nothing wrong. 😩😪😭 #itsokaynottobeokay	1	hate blue wave sadness emptiness take worst thing literally nothing wrong
"I've had it more than enough so take it.

""The burden is finally gone""

I've been tied up for way too long so i forgot how to cut myself free.

 #itsokaynottobeokay"	1	enough take burden finally gone tied way long forgot cut free
"Today's positive thought:
""Your worst enemy cannot harm you as much as your own unguarded thoughts."" Buddha
#youareyouandthatisok #mentalhealthawareness #askforhelp #itsokaynottobeokay #bekindtoyourself #bekindtoothers #dontsufferinsilence"	1	today positive thought worst enemy harm much unguarded thought buddha
Ivf journey…had a bad day. Been okay about it and had the ‘what will be, will be’ mentality but oh my days, today I don’t. Pregnancy announcements on social media and a sleepless night about where my life is going have seriously got to me today!😔 #itsokaynottobeokay #edutwitter	1	ivf journey bad day okay mentality oh day today pregnancy announcement social medium sleepless night life going seriously got today
Went to see @dehmovie this afternoon. I cried...twice. I am not okay. This needed to be around 10 years ago, but I'm so glad it is here now. #itsokaynottobeokay #MentalHealthAwareness	1	went see afternoon cried twice okay needed around 10 year ago glad
Sometimes it’s okay to have a struggle day. Not every day is going to be easy to get through. #MentalHealthMatters #mentalhealth #struggle #itsokaynottobeokay #emotions	1	sometimes okay struggle day every day going easy get
I totally need someone to hug me TIGHT and say everything gonna be fine. #LifeisStrange #depressed #everythingsucks	1	totally need someone hug tight say everything gon na fine
i plan on committing suicide today or tommorrow. need painless tips please. #suicide #depression #depressed #suicidemethods	1	plan committing suicide today tommorrow need painless tip please
Exhausted! Absolutely exhausted and my day isn’t over yet.  I Thankyou all! You are the most amazing kind calm caring beautiful people! And I’m so lucky to have you all in my life! You all helped me through today. #depressed #mumma #mentalhealth #strugglingalone #notalone	1	exhausted absolutely exhausted day yet thankyou amazing kind calm caring beautiful people lucky life helped today
Im going to get Far Cry 6 and playing video games the rest of the day , after my nap. #depressed	1	im going get far cry 6 playing video game rest day nap
Just #depressed haven’t made money in 4 days on @NiteFlirt .	1	made money 4 day
i’m back only to say FUCK @Ticketmaster for screwing me over. i didn’t get tickets to see bts even when i had that fucking presale code for wednesday 😂 ok i’m leaving again bc i’m #depressed	1	back say fuck screwing get ticket see bts even fucking presale code wednesday ok leaving bc
I honestly wish somebody could just throw my dead body in a river or something #depressed	1	honestly wish somebody could throw dead body river something
"That moment you look left and right 
You discovered that you're just left alone no one cares baba send me helper i can't do it on my own  #depressed  @ChineduIjiomah"	1	moment look left right discovered left alone one care baba send helper
Sometimes I feel like I’m alone that’s when the Demons start talking #Alone #depression #depressed #sucidethoughts #demons	1	sometimes feel like alone demon start talking
I love crying in the rain, Beacuse when I do, no one can hear all the pain.                                                              #quotes #depressed	1	love cry rain beacuse one hear pain
just done the back shift and in at 10 tomorrow #depressed	1	done back shift 10 tomorrow
how is everyone in new york or paris but not me i am #depressed	1	everyone new york paris
I feel so mentally drained all the time but keep pushing through just for a few people who actually care. Forcing myself to actually wake up in the mornings. #depressed #tired	1	feel mentally drained time keep pushing people actually care forcing actually wake morning
"I love it when people don’t listen when they hurt me 

#sad #sadness #Anxiety #anxietydisorder #anxious #depression #depressed"	1	love people listen hurt
"Youre still valuable🙂
#Day6
#depressed🥺"	1	youre still valuable
"My humor getting more and more broken everyday 

Just like my soul 😔😔😔😔😔😔😔😔😔😔💔💔💔💔💔💔💔💔💔💔🥺🥺🥺🥺🥺🥺🥺#emo #depressed #sad #emotional #brocken"	1	humor getting broken everyday like soul
I miss my idols 😓 #depressed #mina	1	miss idol
World depression day and I am #depressed	1	world depression day
"How is it possible to be up for two hours yet, not being fully awake, more like a zombie. I dosed myself good &amp; slept from 4pm yesterday, got up for an hour or two &amp; back to bed around 9pm.

Not #depressed or in #pain while I sleep. Reason why. Just want to forget it."	1	possible two hour yet fully awake like zombie dosed good slept 4pm yesterday got hour two back bed around 9pm sleep reason want forget
I am in final stages of completing my official Psychotherapy qualifications for UK because I had terrible counseling when I was severely #depressed family may not want to know, but plenty of us here do!	1	final stage completing official psychotherapy qualification uk terrible counseling severely family may want know plenty u
Someone please take Mercury out of the microwave.. I woke up this morning wanting to listen to The Spill Canvas. IYKYK 🥲 #InternationalCoffeeDay #ExpensivePain #breathe #DONT_FIGHT_THE_FEELING #CitadelScandel #Mercury #millenial #emo #retrograde  #depressed	1	someone please take mercury microwave woke morning wanting listen spill canvas iykyk fight feeling
"Someone take me on a date haha it been fucking ages since I been on one. Haha 
#bored #single #sad #depressed #gay #gayaf"	1	someone take date haha fucking age since one haha
How many times can I say that I'm done? And I mean it every time I say it, but I change nothing of my situation. Depression is my main emotion. #toxicfamily #depressed  #fuckyou #mentalhealth #depression #toxic #family	1	many time say done mean every time say change nothing situation depression main emotion
"DEPRESSION IS NOT A JOKE.

#depressed"	1	depression joke
When you travel 2 and a half hours to see @dimension_uk  and you’re not aloud in cause of what some of our group was wearing yet they have been there before in the same sort of clothing , corrupt bouncers in there place is a shambles  #depressed #neededtolistentosaviourlive	1	travel 2 half hour see uk aloud cause group wearing yet sort clothing corrupt bouncer place shamble
Mental pain is less Dramatic then physical pain but it is more common and also harder to bear. The frequent attempt to conceal mental pain increases the burden, it is easier to say I have a tooth Ache then my heart is broken #Alone #depressed #mentalhealth #pain	1	mental pain le dramatic physical pain common also harder bear frequent attempt conceal mental pain increase burden easier say tooth ache heart broken
All it takes to ruin my whole day is to just think about how much you betrayed me… #depressed	1	take ruin whole day think much betrayed
I looked at my 9 year old today and i am scared to cry incase I never stop.  Why is this happening to her? Give me the pain and let her be free from it.  #LongCovidKids sucks #depressed #pain	1	looked 9 year old today scared cry incase never stop happening give pain let free suck
#depressed bc of tamaki	1	bc tamaki
feeling #depressed	1	feeling
They say Depression is like a rabbit hole however the difference is with a rabbit hole you will eventually reach the bottom #Alone #mentalhealth #depression #depressed #pain	1	say depression like rabbit hole however difference rabbit hole eventually reach bottom
"Damn bro....why? Just why?....
#Shook #Depressed #KilledMyHigh"	1	damn bro
"I need a break from my own mind
#depressed"	1	need break mind
If you thought that i moved on, you better think about that a lot more, much more than the thinking i did when you left. #depressed	1	thought moved better think lot much thinking left
twitters not posting my luna pictures #depressed	1	twitter posting luna picture
"Hey you good today?
Me: always (smile on face)

I’ll never let them see when I’m #lonely and #depressed while all my friends/family are with their wives and kids looking happy. I’m the only one not there in my life. I want what they have"	1	hey good today always smile face never let see friend family wife kid looking happy one life want
